log_M,U,R,U - R,Morphology
10.046102,17.038149,15.51998,1.5181684,4
9.728752,18.94633,16.659107,2.287222,1
10.465602,18.343573,15.825466,2.5181065,0
10.299907,16.625917,14.695529,1.9303885,4
11.700349,16.406107,13.70074,2.705367,1
10.76384,17.498165,14.860219,2.6379461,1
10.058126,19.107998,16.722733,2.3852654,0
10.068472,17.959654,16.402271,1.5573826,0
10.618522,18.507175,15.937593,2.569582,0
9.904611,19.077595,16.714302,2.3632927,0
10.226232,16.887575,15.21311,1.6744652,4
9.844862,17.573257,15.686635,1.8866224,0
11.520123,15.742443,13.082387,2.660056,4
9.626188,18.432545,16.964544,1.4680004,0
11.692284,17.474924,14.569468,2.9054565,0
10.766788,17.549398,14.98116,2.5682383,0
9.76733,18.068657,16.76494,1.3037167,0
9.836695,19.068575,16.871733,2.1968422,0
10.068814,18.651464,16.424883,2.2265816,0
9.925554,18.538424,16.437069,2.1013546,0
10.324771,18.216228,15.797351,2.4188776,0
10.55638,18.373829,15.7960005,2.5778284,1
9.670519,18.355688,16.827663,1.5280247,4
9.930781,18.816973,16.56821,2.2487621,0
9.769851,18.677446,16.921488,1.7559586,0
10.236577,18.711304,16.190266,2.521038,1
10.38876,17.78814,15.683005,2.105134,0
11.284584,17.822023,15.086946,2.7350779,0
9.900131,19.296259,16.774258,2.5220013,0
10.563718,15.426841,13.585006,1.841835,4
9.526455,17.853397,16.354786,1.4986115,0
9.664872,17.649666,16.148838,1.5008278,0
10.226232,18.08819,15.917964,2.170226,4
10.351885,16.57196,14.411859,2.160102,0
10.257712,16.782162,14.745511,2.0366507,1
9.781144,17.821606,16.379513,1.4420929,0
10.304255,15.68264,14.193088,1.4895525,4
11.493994,16.308582,13.679666,2.6289167,0
11.252276,17.399887,14.693539,2.7063484,0
10.455628,18.533659,16.041632,2.4920273,1
10.26244,17.341412,15.470204,1.8712072,0
10.26384,17.661596,15.721482,1.940114,1
9.940907,17.1331,15.416846,1.7162542,4
9.712278,17.636713,16.274597,1.3621159,4
10.250349,16.94162,15.161007,1.780613,4
10.991384,17.52249,14.854616,2.6678734,1
10.407998,19.130598,16.628944,2.5016537,0
10.028197,17.423582,15.837847,1.5857353,4
11.842378,16.898098,14.083589,2.8145094,4
10.315818,17.450306,15.780804,1.6695023,0
10.323371,16.387854,14.21295,2.1749039,4
10.424437,17.961063,15.651601,2.3094625,0
10.991506,18.894053,16.058874,2.8351784,0
9.475349,17.691193,16.308702,1.3824902,4
11.68072,17.077179,14.189174,2.8880053,4
9.911814,18.915495,16.705376,2.2101192,1
10.255224,17.112137,15.33382,1.7783165,4
10.114273,18.16342,16.285324,1.8780956,0
10.288154,17.316854,15.289995,2.0268593,4
11.104011,17.826895,15.177639,2.6492558,0
11.824771,16.470266,13.757362,2.712904,1
9.812226,18.643084,16.616095,2.026989,4
11.018723,17.764606,15.200106,2.5645008,3
10.770115,18.056475,15.411528,2.644947,3
11.373669,17.178942,14.519587,2.6593552,1
11.621659,17.048294,14.37999,2.6683044,0
9.932943,17.69475,15.978735,1.7160149,0
10.55918,17.298882,14.976005,2.322877,4
10.11141,18.848791,16.526823,2.321968,0
11.108548,17.412708,14.85669,2.5560179,3
11.216977,18.088379,15.342986,2.7453928,0
10.289554,18.70628,16.280127,2.4261532,0
10.923037,17.992489,15.407598,2.5848913,0
10.955628,17.230625,14.617313,2.6133118,0
9.938201,17.752941,16.371262,1.3816795,0
11.477355,17.281675,14.554302,2.7273731,0
9.916077,18.803347,16.797663,2.005684,0
9.84973,17.959755,16.541199,1.4185562,0
10.235021,17.644732,15.675258,1.9694738,4
9.773755,16.799438,15.630905,1.1685333,3
9.778018,17.95371,16.046787,1.9069233,0
10.943875,18.786327,16.103472,2.6828556,0
10.160968,19.005209,16.643892,2.3613167,0
10.563718,16.769697,14.743911,2.0257864,4
10.738366,18.69892,16.181522,2.517397,0
9.9919,17.779696,16.164783,1.614912,0
11.328299,17.44735,14.765664,2.6816854,1
10.419899,15.651116,14.110724,1.5403919,0
11.876279,16.4655,13.7614155,2.7040844,3
11.003596,16.769678,14.210058,2.55962,1
10.877894,18.99415,16.15691,2.8372402,0
10.30867,18.848814,16.291664,2.55715,1
10.817408,17.332212,14.797806,2.5344067,4
11.480303,17.546154,14.870707,2.6754475,1
11.472067,17.14195,14.372868,2.769083,0
10.416761,18.051653,15.817965,2.2336884,4
10.728203,18.053144,15.831715,2.2214298,0
11.246579,16.639093,13.960054,2.679039,0
10.160004,17.299692,15.472446,1.8272457,0
10.725213,18.563095,16.042967,2.5201283,1
9.74244,17.769371,16.61878,1.1505909,4
10.448291,18.226406,15.759305,2.467101,0
11.008695,18.469261,15.58135,2.8879108,4
10.130871,18.324947,16.218868,2.106079,0
9.284007,18.419178,16.864332,1.5548458,0
9.815569,17.66107,16.233173,1.4278965,0
10.273813,17.630768,15.623814,2.0069542,4
10.260702,18.184465,15.859682,2.3247833,4
10.097021,17.813568,16.159172,1.654396,4
10.271203,17.257557,15.428525,1.829032,4
9.900909,17.599655,15.933223,1.6664324,4
10.269588,18.617687,16.359215,2.2584724,0
9.739703,18.210012,16.590176,1.6198368,4
9.887095,16.839489,15.37761,1.4618788,4
9.975349,17.982769,16.310482,1.672287,0
11.620449,16.085226,13.996877,2.0883493,4
9.821152,18.488485,16.567244,1.9212418,4
9.957226,17.064812,15.875676,1.1891356,0
10.129301,18.843138,16.556074,2.2870636,4
10.029581,17.332817,15.707873,1.6249437,4
10.026455,17.21177,15.539517,1.6722517,4
9.823486,17.840754,16.006247,1.834507,0
10.285206,16.954903,14.846999,2.1079035,0
10.250539,18.129738,16.131414,1.9983234,0
10.177302,17.568075,15.871759,1.6963158,4
9.781922,18.285576,16.384586,1.9009895,0
11.38876,17.088634,14.435684,2.6529503,1
10.58752,18.246428,15.6439,2.6025276,1
10.26225,17.141973,15.138101,2.0038729,4
10.185686,18.794676,16.504366,2.29031,0
11.849275,17.62084,14.363421,3.2574186,0
10.226667,18.774902,16.293966,2.480936,4
9.829306,17.230589,15.749909,1.4806795,4
10.360178,17.33612,15.343119,1.9930019,4
10.141118,16.963596,15.444044,1.5195522,0
10.337374,17.598843,15.46653,2.1323128,1
10.347537,17.280853,15.098189,2.182664,4
11.424099,17.08865,14.440076,2.6485739,0
9.770456,17.768236,16.29999,1.4682465,0
10.429873,16.981695,14.928555,2.0531406,4
9.905389,18.157513,16.334467,1.8230457,4
9.863155,19.147474,16.982439,2.1650352,0
10.331246,19.186848,16.661009,2.5258389,1
9.715201,18.55265,16.846296,1.7063541,0
9.537934,18.316,16.616987,1.6990128,4
10.088322,17.993998,16.362127,1.6318703,1
9.952793,17.746277,16.035038,1.7112389,0
10.068472,17.776154,15.923725,1.8524284,4
10.715857,17.096676,15.112614,1.9840622,0
10.241662,17.037125,15.533671,1.5034533,4
9.738147,18.284328,16.791182,1.4931469,0
10.216105,17.4113,14.790569,2.6207314,4
10.149099,19.111744,16.608406,2.5033379,0
10.893297,16.549644,13.948979,2.600665,0
10.817745,18.456612,15.928829,2.5277824,1
10.005641,17.73373,16.044292,1.6894379,0
11.067754,17.812576,15.164755,2.6478214,1
9.909652,17.708244,16.039152,1.6690922,4
9.614536,18.300167,16.662552,1.6376152,0
11.454039,17.247677,14.614542,2.6331348,1
10.24244,18.970636,16.537628,2.4330082,1
10.274341,18.045141,15.803106,2.242035,4
9.854552,18.35393,16.786024,1.5679054,1
11.008695,17.279957,14.608425,2.6715317,1
10.534824,16.840015,14.76967,2.0703459,0
10.187428,18.315884,15.851284,2.4645996,0
11.897523,16.204882,13.417012,2.7878695,4
