OBJID,RA,DEC,REDSHIFT,P_ELLIPTICAL,P_SPIRAL,UMAG,GMAG,RMAG,IMAG,ZMAG,LOG_MASS,R90_ARCSEC,AXIAL_RATIO,LOCAL_DENSITY,NEARCLUSTER_DIST,NEARCLUSTER_MASS
587733081884852451,177.0032477,55.76148195,0.0515755,0.9464286,0.03571429,-19.76212883,-21.92225266,-22.74979401,-23.1511116,-23.26054382,11.29317474,23.33802032,0.71553355,1.32E+00,0.02368328,3.42E+14
587739114167337329,133.542175,24.77676425,0.0431668,0,0.95833337,-18.54529762,-19.8556385,-20.3697319,-20.58287621,-20.71320152,10.08404827,7.98050356,0.63849205,-8.13E-01,36.33936691,3.25E+14
588010880382075040,208.3867175,5.49870231,0.0791078,0.26286161,0.65020519,-19.72541809,-20.78772354,-21.36767578,-21.6668396,-21.81054115,10.58044434,7.95969391,0.75345647,2.23E-01,1.36140001,5.97E+14
587728949052702898,161.7428827,0.17595133,0.0493368,0.17285712,0.71328878,-18.89916611,-19.88747597,-20.22651863,-20.23761559,-20.22694206,9.84685612,11.25823021,0.78232402,-7.05E-01,39.61714554,9.16E+13
587724234253271147,21.85706437,15.52659738,0.0523708,0.94999999,0,-18.90903664,-20.788517,-21.56802559,-21.93705559,-22.21077347,10.78099918,8.68261528,0.89684057,-5.21E-01,33.51350403,2.22E+14
587729233054138664,253.0303196,43.29842624,0.0570303,0.03025327,0.96974665,-19.34090614,-20.49987221,-20.95724869,-21.11963654,-21.28875732,10.2583313,11.22799873,0.46160904,1.77E-01,33.38917923,1.41E+14
587744874790846734,134.086618,13.27471964,0.0756548,0.61569685,0.17833215,-17.99409294,-19.81561661,-20.53596306,-20.84453011,-21.08234978,10.32223225,6.4451766,0.82259893,-1.42E+00,-999,-9.99E+02
587726033322246286,179.899151,2.91894817,0.0841342,0.01965673,0.94923025,-18.66802597,-20.22453308,-20.8503933,-21.09065628,-21.49193573,10.45234585,6.90427446,0.37639144,-5.95E-01,23.06066513,2.06E+13
587733399714988202,234.269353,44.14304944,0.0768211,0.09109316,0.90890676,-18.59053421,-20.04403305,-20.70618629,-21.03490639,-21.36624718,10.34923553,4.10519695,0.53297079,-8.19E-01,34.08535767,1.45E+14
587735348549320932,125.0371389,7.73132484,0.0837689,0.02605091,0.95683748,-19.53805733,-20.89710426,-21.61135292,-21.80023766,-21.97573662,10.71191883,8.09112358,0.82030833,7.55E-01,0.36879358,2.26E+13
