Rk,Player,Pos,Age,Tm,G,MP,FGP,Distance,2P,0-3,3-10,10-16,16-3P,3P,3PA,2PA,FGA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
157,Carsen Edwards,SG,23,DET,4,79,0.3,17.6,0.357,0.286,0,0.333,1,0.25,16,14,30,1,1,1,2,4,6,14,2,0,5,4,23
158,Kessler Edwards,SF,21,BRK,48,987,0.412,15.4,0.473,0.493,0.387,0.526,0.5,0.353,136,131,267,16,19,0.842,44,128,172,31,29,24,42,85,284
159,Rob Edwards,SG,25,OKC,2,11,0.25,24.3,,,,,,0.25,4,0,4,0,0,,0,3,3,0,0,0,1,0,3
160,CJ Elleby,SF,21,POR,58,1174,0.393,13.4,0.462,0.615,0.231,0.478,0.182,0.294,126,182,308,60,84,0.714,66,161,227,87,35,19,56,116,339
161,Wayne Ellington,SG,34,LAL,43,810,0.414,23.4,0.615,0.8,0.667,0.429,0.333,0.389,211,26,237,9,11,0.818,10,67,77,30,23,5,19,42,287
162,Joel Embiid,C,27,PHI,68,2297,0.499,11.9,0.529,0.763,0.409,0.431,0.428,0.371,251,1083,1334,654,803,0.814,146,650,796,284,77,99,214,181,2079
163,James Ennis III,SF,31,TOT,7,56,0.458,10.6,0.5,0.538,0.5,,0,0.375,8,16,24,4,5,0.8,5,7,12,3,2,2,2,5,29
163,James Ennis III,SF,31,BRK,2,14,0.286,8.3,0.2,0.2,,,,0.5,2,5,7,0,0,,2,3,5,0,1,1,0,0,5
163,James Ennis III,SF,31,LAC,2,28,0.636,12.3,0.714,1,0,,0,0.5,4,7,11,4,4,1,2,3,5,0,1,1,1,4,20
163,James Ennis III,SF,31,DEN,3,14,0.333,10,0.5,0.333,1,,,0,2,4,6,0,1,0,1,1,2,3,0,0,1,1,4
164,Drew Eubanks,C,24,TOT,71,1245,0.596,6.2,0.621,0.683,0.563,0.657,0.357,0.217,23,348,371,99,130,0.762,130,252,382,85,31,40,81,122,546
164,Drew Eubanks,C,24,SAS,49,595,0.528,5.7,0.55,0.597,0.541,0.455,0.286,0.125,8,151,159,59,79,0.747,64,132,196,50,13,30,46,61,228
164,Drew Eubanks,C,24,POR,22,650,0.646,6.6,0.675,0.75,0.581,0.75,0.429,0.267,15,197,212,40,51,0.784,66,120,186,35,18,10,35,61,318
165,Tacko Fall,C,26,CLE,11,59,0.417,3.2,0.417,0.625,0,,,,0,12,12,2,7,0.286,7,16,23,2,0,6,3,3,12
166,Derrick Favors,C,30,OKC,39,653,0.516,9.7,0.554,0.694,0.433,0.548,0.406,0.125,16,166,182,16,25,0.64,58,126,184,25,17,12,9,62,206
167,Bruno Fernando,C,23,TOT,30,153,0.655,4,0.66,0.676,0.625,0.5,1,0.5,2,53,55,15,24,0.625,18,37,55,7,1,11,14,24,88
167,Bruno Fernando,C,23,BOS,20,58,0.5,6.2,0.462,0.444,0,0.5,1,1,1,13,14,4,5,0.8,7,8,15,4,0,3,5,6,19
167,Bruno Fernando,C,23,HOU,10,94,0.707,3.2,0.725,0.76,0.667,,,0,1,40,41,11,19,0.579,11,29,40,3,1,8,9,18,69
168,Dorian Finney-Smith,PF,28,DAL,80,2644,0.471,17,0.599,0.752,0.324,0.471,0.273,0.395,435,257,692,56,83,0.675,122,253,375,150,88,39,80,183,880
169,Malik Fitts,PF,24,TOT,15,63,0.421,16.7,0.333,0.75,0,0,0,0.5,10,9,19,0,0,,2,15,17,5,0,0,2,4,21
169,Malik Fitts,PF,24,UTA,7,35,0.222,18.1,0,0,0,0,0,0.5,4,5,9,0,0,,0,10,10,0,0,0,2,3,6
169,Malik Fitts,PF,24,BOS,8,28,0.6,15.4,0.75,1,0,,,0.5,6,4,10,0,0,,2,5,7,5,0,0,0,1,15
170,Malachi Flynn,PG,23,TOR,44,537,0.393,18.2,0.452,0.545,0.464,0.571,0.31,0.333,90,93,183,15,24,0.625,10,53,63,70,20,4,13,45,189
171,Bryn Forbes,SG,28,TOT,75,1286,0.429,19.5,0.447,0.609,0.432,0.525,0.364,0.414,295,244,539,79,87,0.908,10,83,93,75,25,5,56,95,663
171,Bryn Forbes,SG,28,SAS,40,676,0.432,18.9,0.448,0.688,0.359,0.478,0.409,0.417,151,145,296,44,49,0.898,4,59,63,41,17,3,33,42,363
171,Bryn Forbes,SG,28,DEN,35,610,0.424,20.2,0.444,0.429,0.514,0.692,0.318,0.41,144,99,243,35,38,0.921,6,24,30,34,8,2,23,53,300
172,Aleem Ford,SF,24,ORL,5,74,0.3,19.5,0.8,1,0.5,,,0.133,15,5,20,0,0,,2,13,15,2,1,0,4,7,14
173,Trent Forrest,PG,23,UTA,60,765,0.49,8.8,0.555,0.592,0.529,0.556,0.5,0.185,27,128,155,38,48,0.792,23,76,99,106,30,6,48,43,195
174,Evan Fournier,SG,29,NYK,80,2358,0.417,19.6,0.465,0.603,0.39,0.474,0.432,0.389,619,346,965,80,113,0.708,34,176,210,171,79,20,105,180,1125
175,De'Aaron Fox,PG,24,SAC,59,2084,0.473,12.4,0.524,0.714,0.466,0.451,0.453,0.297,249,843,1092,261,348,0.75,25,206,231,330,68,25,168,172,1367
176,Melvin Frazier,SG,25,OKC,3,120,0.271,12.4,0.444,0.667,0.267,,,0.048,21,27,48,5,7,0.714,5,8,13,1,1,0,3,8,32
177,Tim Frazier,PG,31,TOT,12,208,0.311,17.4,0.286,1,0.25,0.167,0.182,0.353,17,28,45,5,9,0.556,5,14,19,34,3,1,15,27,39
177,Tim Frazier,PG,31,ORL,10,200,0.302,17.5,0.269,1,0.25,0.2,0.1,0.353,17,26,43,5,9,0.556,5,14,19,33,3,1,13,24,37
177,Tim Frazier,PG,31,CLE,2,8,0.5,14.9,0.5,,,0,1,,0,2,2,0,0,,0,0,0,1,0,0,2,3,2
178,Enes Freedom,C,29,BOS,35,411,0.526,4.4,0.533,0.537,0.5,0.5,1,0.4,5,92,97,24,28,0.857,61,99,160,8,5,14,20,42,128
179,Markelle Fultz,PG,23,ORL,18,360,0.474,11.1,0.5,0.775,0.389,0.459,0.37,0.235,17,158,175,25,31,0.806,4,45,49,99,20,5,40,22,195
180,Wenyen Gabriel,PF,24,TOT,26,359,0.491,8.5,0.561,0.692,0.37,0,0,0.286,28,82,110,25,42,0.595,39,58,97,14,5,11,16,68,141
180,Wenyen Gabriel,PF,24,BRK,1,1,,,,,,,,,0,0,0,0,0,,0,1,1,0,0,0,0,0,0
180,Wenyen Gabriel,PF,24,LAC,6,46,0.385,11.2,0.375,0.4,0.333,,,0.4,5,8,13,2,4,0.5,5,9,14,2,1,2,3,11,14
180,Wenyen Gabriel,PF,24,LAL,19,311,0.505,8.1,0.581,0.723,0.375,0,0,0.261,23,74,97,23,38,0.605,34,48,82,12,4,9,13,57,127
181,Daniel Gafford,C,23,WAS,72,1444,0.693,2.9,0.695,0.837,0.448,0.333,0,0,1,410,411,107,153,0.699,155,252,407,68,30,99,65,170,677
182,Danilo Gallinari,PF,33,ATL,66,1672,0.434,18.4,0.485,0.718,0.377,0.467,0.382,0.381,294,303,597,141,156,0.904,35,273,308,101,28,12,38,93,771
183,Langston Galloway,SG,30,TOT,7,107,0.231,19.4,0.4,0.333,0,0.667,0.333,0.125,16,10,26,0,0,,3,15,18,12,1,0,6,7,14
183,Langston Galloway,SG,30,BRK,4,58,0.385,19,0.6,0.5,,1,0,0.25,8,5,13,0,0,,1,7,8,5,0,0,5,5,12
183,Langston Galloway,SG,30,MIL,3,49,0.077,19.9,0.2,0,0,0,0.5,0,8,5,13,0,0,,2,8,10,7,1,0,1,2,2
184,Darius Garland,PG,22,CLE,68,2430,0.462,15.5,0.512,0.607,0.451,0.497,0.456,0.383,454,719,1173,215,241,0.892,39,185,224,583,89,7,248,115,1473
185,Marcus Garrett,SG,23,MIA,12,128,0.238,9.3,0.235,0.2,0.333,0,0.5,0.25,4,17,21,2,5,0.4,9,14,23,7,5,3,2,16,13
186,Usman Garuba,PF,19,HOU,24,240,0.432,12.6,0.583,0.636,0,0,,0.25,20,24,44,5,7,0.714,21,62,83,17,10,11,6,28,48
187,Luka Garza,C,23,DET,32,389,0.449,12.7,0.51,0.674,0.5,0.2,0.231,0.327,49,98,147,38,61,0.623,58,42,100,20,9,6,18,55,186
188,Rudy Gay,PF,35,UTA,55,1038,0.414,17.4,0.494,0.778,0.333,0.405,0.391,0.345,203,176,379,62,79,0.785,55,187,242,56,25,19,47,95,446
189,Paul George,PF,31,LAC,31,1077,0.421,16.6,0.467,0.667,0.346,0.451,0.396,0.354,257,379,636,127,148,0.858,12,201,213,176,67,13,126,74,754
190,Taj Gibson,C,36,NYK,52,946,0.518,9.9,0.555,0.667,0.433,0.529,0.333,0.395,38,128,166,42,52,0.808,88,141,229,32,22,40,27,137,229
191,Josh Giddey,SF,19,OKC,54,1700,0.419,12.7,0.492,0.649,0.444,0.431,0.333,0.263,213,457,670,56,79,0.709,98,323,421,345,51,20,171,88,674
192,Shai Gilgeous-Alexander,PG,23,OKC,56,1942,0.453,12.1,0.514,0.662,0.445,0.442,0.49,0.3,297,755,1052,328,405,0.81,37,241,278,331,71,46,154,142,1371
193,Anthony Gill,PF,29,WAS,44,463,0.569,9.2,0.578,0.625,0.551,0.5,,0.538,26,83,109,42,52,0.808,33,52,85,27,5,11,18,58,180
194,Freddie Gillespie,PF,24,ORL,9,119,0.409,6.5,0.429,0.333,0.417,0.667,,0,1,21,22,3,7,0.429,13,23,36,5,3,9,5,18,21
195,Rudy Gobert,C,29,UTA,66,2120,0.713,2.7,0.718,0.803,0.468,0.75,0,0,4,504,508,303,439,0.69,241,727,968,72,45,137,119,176,1027
196,Brandon Goodwin,PG,26,CLE,36,502,0.416,13.9,0.455,0.634,0.355,0.333,0.222,0.345,55,99,154,24,38,0.632,14,53,67,91,25,1,36,39,171
197,Jordan Goodwin,SG,23,WAS,2,6,0,16.6,0,0,,,0,0,1,2,3,0,0,,0,1,1,0,0,0,0,1,0
198,Aaron Gordon,PF,26,DEN,75,2376,0.52,11.5,0.605,0.796,0.369,0.329,0.422,0.335,260,574,834,171,230,0.743,125,314,439,188,44,44,133,148,1126
199,Eric Gordon,SG,33,HOU,57,1670,0.475,16.2,0.548,0.679,0.416,0.333,0.5,0.412,301,263,564,105,135,0.778,15,98,113,154,28,18,107,63,765
200,Devonte' Graham,PG,26,NOP,76,2162,0.363,21.2,0.413,0.627,0.298,0.4,0.325,0.341,563,252,815,118,140,0.843,37,140,177,316,71,12,105,95,902
201,Jerami Grant,PF,27,DET,47,1500,0.426,15.2,0.465,0.631,0.442,0.243,0.429,0.358,254,445,699,217,259,0.838,28,163,191,111,44,49,85,107,904
202,Hassani Gravett,PG,25,ORL,8,171,0.474,20.9,0.583,0.333,0.5,1,0.5,0.423,26,12,38,3,4,0.75,1,20,21,20,5,1,9,13,50
203,Danny Green,SF,34,PHI,62,1353,0.394,21.8,0.469,0.682,0.2,0.5,0.333,0.38,271,49,320,11,14,0.786,32,125,157,64,60,37,45,105,366
204,Draymond Green,PF,31,GSW,46,1329,0.525,9.8,0.586,0.716,0.557,0.267,0.3,0.296,54,203,257,60,91,0.659,45,291,336,320,61,50,139,136,346
205,Jalen Green,SG,19,HOU,67,2138,0.426,15.7,0.502,0.68,0.252,0.333,0.381,0.343,458,496,954,188,236,0.797,33,193,226,176,44,18,135,103,1157
206,JaMychal Green,PF,31,DEN,67,1085,0.486,12.1,0.621,0.734,0.392,0.273,0.692,0.266,124,203,327,81,93,0.871,81,200,281,59,43,26,57,158,432
207,Javonte Green,SF,28,CHI,65,1519,0.542,9.1,0.625,0.695,0.425,0.2,,0.356,101,224,325,80,96,0.833,91,185,276,60,67,32,30,132,468
208,Jeff Green,PF,35,DEN,75,1849,0.524,11.3,0.62,0.79,0.496,0.415,0.188,0.315,168,361,529,165,198,0.833,41,190,231,96,28,27,71,151,772
209,Josh Green,SG,21,DAL,67,1039,0.508,11.1,0.573,0.786,0.397,0.4,0.273,0.359,78,178,256,31,45,0.689,52,109,161,79,45,14,44,115,319
210,Blake Griffin,C,32,BRK,56,958,0.425,13.5,0.565,0.613,0.532,0.273,0.5,0.262,145,168,313,55,76,0.724,60,168,228,105,27,14,31,95,359
211,Quentin Grimes,SG,21,NYK,46,786,0.404,22.1,0.5,0.714,0,0.2,0.438,0.381,189,46,235,13,19,0.684,24,70,94,44,31,11,28,72,275
212,Kyle Guy,SG,24,MIA,19,186,0.4,18.7,0.48,0.857,0.091,0.5,0.8,0.35,40,25,65,8,12,0.667,4,13,17,17,7,1,13,12,74
213,Rui Hachimura,PF,23,WAS,42,943,0.491,14.7,0.512,0.84,0.404,0.393,0.338,0.447,123,258,381,46,66,0.697,25,135,160,48,23,9,33,53,475
214,Tyrese Haliburton,SG-PG,21,TOT,77,2694,0.473,16.7,0.517,0.712,0.41,0.521,0.457,0.414,389,520,909,160,190,0.842,61,250,311,628,134,49,199,121,1181
214,Tyrese Haliburton,SG,21,SAC,51,1757,0.457,16.8,0.491,0.739,0.355,0.458,0.5,0.413,252,334,586,87,104,0.837,39,160,199,379,86,34,115,71,727
214,Tyrese Haliburton,PG,21,IND,26,938,0.502,16.6,0.565,0.673,0.508,0.646,0.367,0.416,137,186,323,73,86,0.849,22,90,112,249,48,15,84,50,454
215,Tyler Hall,SG,24,NYK,1,2,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
216,R.J. Hampton,SG,20,ORL,64,1402,0.383,13.7,0.405,0.525,0.36,0.2,0.313,0.35,183,274,457,75,117,0.641,23,171,194,158,42,13,87,101,489
217,Tim Hardaway Jr.,SG,29,DAL,42,1245,0.394,19.6,0.473,0.68,0.429,0.404,0.413,0.336,304,226,530,78,103,0.757,13,143,156,92,38,6,34,74,598
218,James Harden,PG,32,TOT,65,2420,0.41,14.6,0.476,0.598,0.37,0.426,0.458,0.33,448,544,992,470,536,0.877,55,445,500,667,82,36,284,153,1432
218,James Harden,PG,32,BRK,44,1627,0.414,14.2,0.476,0.574,0.386,0.419,0.563,0.332,307,399,706,304,350,0.869,42,309,351,447,56,31,212,105,990
218,James Harden,PG,32,PHI,21,792,0.402,15.6,0.476,0.667,0.322,0.444,0.25,0.326,141,145,286,166,186,0.892,13,136,149,220,26,5,72,48,442
219,Maurice Harkless,SF,28,SAC,47,863,0.459,15,0.65,0.688,0.643,0,0.333,0.307,101,80,181,20,28,0.714,12,100,112,23,29,24,31,77,217
220,Jared Harper,PG,24,NOP,5,43,0.538,16.8,0.643,0.4,1,0.5,0.75,0.417,12,14,26,4,4,1,2,0,2,14,4,1,2,5,37
221,Montrezl Harrell,C,28,TOT,71,1640,0.645,4.8,0.658,0.771,0.533,0.409,0.316,0.235,17,538,555,212,296,0.716,149,282,431,145,29,43,72,137,932
221,Montrezl Harrell,C,28,WAS,46,1117,0.645,5.5,0.66,0.788,0.541,0.471,0.357,0.267,15,368,383,149,205,0.727,96,213,309,96,18,31,50,88,647
221,Montrezl Harrell,C,28,CHO,25,524,0.645,3.3,0.653,0.744,0.5,0.2,0.2,0,2,170,172,63,91,0.692,53,69,122,49,11,12,22,49,285
222,Gary Harris,SG,27,ORL,61,1730,0.434,17.2,0.494,0.675,0.464,0.429,0.322,0.384,302,251,553,83,95,0.874,36,86,122,108,59,9,61,112,679
223,Joe Harris,SF,30,BRK,14,423,0.452,19.6,0.417,0.429,0.385,0.5,0.333,0.466,88,36,124,5,6,0.833,5,51,56,14,7,2,16,31,158
224,Tobias Harris,PF,29,PHI,73,2543,0.482,11.7,0.525,0.699,0.444,0.428,0.386,0.367,275,747,1022,170,202,0.842,77,419,496,252,47,43,116,164,1257
225,Shaquille Harrison,SG,28,BRK,2,23,0.333,9.5,0.5,0.667,0,,,0,2,4,6,0,0,,1,3,4,3,1,1,2,3,4
226,Josh Hart,SG,26,TOT,54,1791,0.504,12.4,0.601,0.705,0.434,0.382,0.421,0.343,213,356,569,160,211,0.758,62,326,388,224,61,13,114,150,807
226,Josh Hart,SG,26,NOP,41,1374,0.505,11.4,0.598,0.688,0.415,0.4,0.462,0.323,130,256,386,116,154,0.753,53,265,318,168,45,11,81,118,548
226,Josh Hart,SG,26,POR,13,417,0.503,14.5,0.61,0.754,0.478,0.357,0.333,0.373,83,100,183,44,57,0.772,9,61,70,56,16,2,33,32,259
227,Isaiah Hartenstein,C,23,LAC,68,1216,0.626,5.9,0.64,0.754,0.519,0.559,,0.467,30,336,366,91,132,0.689,117,215,332,160,50,77,84,167,563
228,Udonis Haslem,C,41,MIA,13,83,0.452,9.4,0.481,0.692,0,0.5,0.333,0.25,4,27,31,3,3,1,4,21,25,4,1,1,5,15,32
229,Sam Hauser,SF,24,BOS,26,158,0.46,22.7,0.667,0.8,0,,,0.432,44,6,50,0,0,,5,24,29,10,1,2,2,7,65
230,Jaxson Hayes,C,21,NOP,70,1398,0.616,6.6,0.66,0.777,0.485,0.375,0.286,0.351,57,341,398,144,188,0.766,115,200,315,43,33,55,54,155,654
231,Killian Hayes,PG,20,DET,66,1647,0.383,14.3,0.452,0.747,0.345,0.387,0.308,0.263,167,292,459,57,74,0.77,36,174,210,277,78,35,111,183,453
232,Gordon Hayward,SF,31,CHO,49,1564,0.459,14.4,0.496,0.682,0.327,0.381,0.574,0.391,220,397,617,126,149,0.846,38,186,224,177,47,22,81,85,778
233,Aaron Henry,SF,22,PHI,6,17,0.2,12,0.25,1,0,0,,0,1,4,5,0,0,,0,1,1,0,0,2,2,2,2
234,Juancho Hernangómez,PF,26,TOT,40,445,0.415,17.2,0.541,0.696,0.308,0,,0.348,69,37,106,19,34,0.559,28,72,100,20,14,10,16,25,131
234,Juancho Hernangómez,PF,26,BOS,18,96,0.185,18.6,0.222,0.5,0,0,,0.167,18,9,27,6,9,0.667,9,16,25,3,4,2,6,7,19
234,Juancho Hernangómez,PF,26,SAS,5,51,0.333,13.8,0.667,1,0,,,0,3,3,6,3,4,0.75,4,11,15,3,1,1,2,0,7
234,Juancho Hernangómez,PF,26,UTA,17,298,0.507,17,0.64,0.706,0.5,,,0.438,48,25,73,10,21,0.476,15,45,60,14,9,7,8,18,105
235,Willy Hernangómez,C,27,NOP,50,839,0.52,4.2,0.527,0.63,0.391,0.357,0,0.333,12,315,327,109,141,0.773,143,195,338,63,21,19,51,97,453
236,Tyler Herro,SG,22,MIA,66,2151,0.447,16,0.477,0.688,0.407,0.446,0.391,0.399,439,683,1122,190,219,0.868,32,297,329,263,44,8,174,95,1367
237,Buddy Hield,SG,29,TOT,81,2499,0.406,19.7,0.482,0.593,0.385,0.421,0.443,0.366,716,382,1098,111,127,0.874,66,287,353,229,73,25,153,184,1265
237,Buddy Hield,SG,29,SAC,55,1574,0.382,20.8,0.419,0.582,0.205,0.306,0.436,0.368,495,198,693,80,92,0.87,43,178,221,105,48,15,90,113,792
237,Buddy Hield,SG,29,IND,26,925,0.447,17.7,0.549,0.606,0.553,0.525,0.452,0.362,221,184,405,31,35,0.886,23,109,132,124,25,10,63,71,473
238,Haywood Highsmith,SF,25,MIA,19,163,0.348,16.7,0.389,0.3,0.5,,0.5,0.321,28,18,46,2,5,0.4,10,16,26,6,2,3,3,13,43
239,George Hill,PG,35,MIL,54,1253,0.429,15.4,0.546,0.74,0.316,0.294,0.462,0.306,134,141,275,57,62,0.919,38,117,155,120,42,6,41,70,334
240,Malcolm Hill,SF-SG,26,TOT,19,212,0.462,19.5,0.688,0.667,0.667,0,1,0.361,36,16,52,11,14,0.786,11,24,35,8,7,3,3,24,72
240,Malcolm Hill,SG,26,ATL,3,46,0.625,19,0.667,1,,0,1,0.6,5,3,8,4,4,1,2,4,6,1,4,1,0,7,17
240,Malcolm Hill,SF,26,CHI,16,166,0.432,19.6,0.692,0.6,0.667,,1,0.323,31,13,44,7,10,0.7,9,20,29,7,3,2,3,17,55
241,Solomon Hill,SF,30,ATL,13,139,0.15,17.9,0.143,0.2,0,,,0.154,13,7,20,0,0,,6,17,23,12,4,2,1,16,8
242,Nate Hinton,SG,22,IND,2,2,0,8.1,0,,0,,,,0,1,1,0,0,,0,0,0,0,0,0,1,0,0
243,Jaylen Hoard,SF,22,OKC,7,240,0.489,10,0.538,0.724,0.387,0.333,0.5,0.36,25,65,90,6,14,0.429,30,54,84,17,6,5,8,14,103
244,Aaron Holiday,PG,25,TOT,63,1021,0.447,13.1,0.477,0.61,0.475,0.411,0.263,0.379,103,235,338,59,68,0.868,24,98,122,153,42,9,67,92,400
244,Aaron Holiday,PG,25,WAS,41,663,0.467,12.9,0.524,0.605,0.529,0.486,0.167,0.343,67,147,214,28,35,0.8,9,58,67,78,24,9,39,60,251
244,Aaron Holiday,PG,25,PHO,22,358,0.411,13.5,0.398,0.619,0.364,0.286,0.308,0.444,36,88,124,31,33,0.939,15,40,55,75,18,0,28,32,149
245,Jrue Holiday,PG,31,MIL,67,2208,0.501,13.6,0.547,0.651,0.464,0.542,0.515,0.411,321,633,954,137,180,0.761,69,232,301,457,108,29,183,133,1225
246,Justin Holiday,SF-SG,32,TOT,74,2057,0.394,20.7,0.467,0.594,0.344,0.483,0.36,0.367,482,180,662,50,62,0.806,29,161,190,128,57,33,70,154,749
246,Justin Holiday,SF,32,IND,49,1416,0.415,21.1,0.516,0.674,0.353,0.478,0.417,0.378,336,122,458,34,41,0.829,18,117,135,90,36,18,49,105,541
246,Justin Holiday,SG,32,SAC,25,641,0.348,20,0.362,0.435,0.333,0.5,0.214,0.342,146,58,204,16,21,0.762,11,44,55,38,21,15,21,49,208
247,Richaun Holmes,C,28,SAC,45,1074,0.66,5.5,0.664,0.767,0.549,0.567,0.667,0.4,5,295,300,70,90,0.778,93,224,317,48,17,41,56,128,468
248,Rodney Hood,PF-SF,29,TOT,52,709,0.369,19.6,0.424,0.857,0.267,0.438,0.238,0.33,91,66,157,17,19,0.895,15,62,77,38,15,6,11,31,163
248,Rodney Hood,PF,29,MIL,39,581,0.351,19.9,0.431,0.846,0.273,0.455,0.188,0.3,80,51,131,13,14,0.929,13,54,67,30,12,4,7,27,129
248,Rodney Hood,SF,29,LAC,13,128,0.462,18.1,0.4,1,0.25,0.4,0.4,0.545,11,15,26,4,5,0.8,2,8,10,8,3,2,4,4,34
249,Scotty Hopson,SG,32,OKC,1,18,0.5,17.3,0.667,,0,,1,0,1,3,4,0,0,,0,1,1,1,0,0,2,1,4
250,Al Horford,C,35,BOS,69,2005,0.467,15.3,0.582,0.784,0.507,0.538,0.333,0.336,265,304,569,80,95,0.842,108,422,530,232,49,92,65,130,701
251,Talen Horton-Tucker,SG,21,LAL,60,1511,0.416,12.8,0.492,0.613,0.409,0.389,0.344,0.269,182,356,538,100,125,0.8,37,156,193,159,59,29,82,148,597
252,Danuel House Jr.,SF,28,TOT,42,727,0.404,16.9,0.444,0.634,0.174,0.333,0.375,0.376,117,81,198,44,58,0.759,18,93,111,44,21,17,33,51,248
252,Danuel House Jr.,SF,28,HOU,16,233,0.338,15.2,0.375,0.391,0.167,0.4,0.5,0.294,34,40,74,17,19,0.895,4,39,43,19,5,5,18,16,77
252,Danuel House Jr.,SF,28,NYK,1,3,0,27,,,,,,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0
252,Danuel House Jr.,SF,28,UTA,25,491,0.447,17.8,0.512,0.944,0.176,0.25,0,0.415,82,41,123,27,39,0.692,14,54,68,25,16,12,15,35,171
253,Dwight Howard,C,36,LAL,60,971,0.612,4.5,0.618,0.732,0.418,0.25,0,0.533,15,204,219,96,146,0.658,118,238,356,35,34,36,47,115,372
254,Markus Howard,SG,22,DEN,31,176,0.386,20.2,0.355,0.333,0.417,0.25,0.333,0.4,70,31,101,20,23,0.87,2,10,12,7,9,0,7,17,126
255,Kevin Huerter,SF,23,ATL,74,2188,0.454,18,0.53,0.663,0.485,0.505,0.467,0.389,411,349,760,42,52,0.808,32,222,254,203,55,26,91,185,892
256,Jay Huff,C,23,LAL,4,20,0,19.9,0,,0,,,0,2,1,3,0,0,,1,3,4,1,1,1,1,1,0
257,Elijah Hughes,SG-SF,23,TOT,36,434,0.326,20.1,0.449,0.692,0.615,0.278,0,0.263,95,49,144,7,9,0.778,6,52,58,22,14,8,17,39,126
257,Elijah Hughes,SF,23,UTA,14,112,0.417,21.1,0.625,0.75,1,0,0,0.357,28,8,36,3,3,1,2,15,17,6,4,1,7,7,43
257,Elijah Hughes,SG,23,POR,22,322,0.296,19.8,0.415,0.667,0.545,0.294,0,0.224,67,41,108,4,6,0.667,4,37,41,16,10,7,10,32,83
258,Feron Hunt,SF,22,NYK,2,8,0,1.5,0,0,,,,,0,2,2,0,0,,1,0,1,1,1,0,1,1,0
259,De'Andre Hunter,SF,24,ATL,53,1577,0.442,13.9,0.474,0.651,0.398,0.409,0.333,0.379,195,380,575,127,166,0.765,26,150,176,68,36,21,69,155,709
260,Chandler Hutchison,SF,25,PHO,6,22,0.5,5,0.5,0,1,,,,0,2,2,2,2,1,0,5,5,2,0,0,4,1,4
261,Bones Hyland,SG,21,DEN,69,1310,0.403,19.4,0.465,0.7,0.284,0.341,0.536,0.366,358,213,571,107,125,0.856,14,174,188,191,41,20,86,153,698
262,Serge Ibaka,C,32,TOT,54,878,0.5,13.8,0.563,0.789,0.506,0.516,0.321,0.374,99,197,296,32,44,0.727,62,188,250,49,11,33,43,102,365
262,Serge Ibaka,C,32,LAC,35,538,0.49,13.9,0.538,0.743,0.519,0.435,0.35,0.387,62,130,192,20,29,0.69,40,110,150,36,7,26,33,56,232
262,Serge Ibaka,C,32,MIL,19,339,0.519,13.7,0.612,0.864,0.483,0.75,0.25,0.351,37,67,104,12,15,0.8,22,78,100,13,4,7,10,46,133
263,Andre Iguodala,SF,38,GSW,31,603,0.38,18.1,0.617,0.76,0.571,0,0.4,0.23,74,47,121,15,20,0.75,21,79,100,114,27,22,28,34,124
264,Joe Ingles,SF,34,UTA,45,1122,0.404,21.3,0.617,0.818,0.619,0.25,0.333,0.347,225,60,285,17,22,0.773,12,119,131,158,23,5,46,82,325
265,Brandon Ingram,SF,24,NOP,55,1869,0.461,14.6,0.501,0.681,0.436,0.506,0.427,0.327,226,757,983,266,322,0.826,35,285,320,307,34,26,151,119,1246
266,Kyrie Irving,PG,29,BRK,29,1091,0.469,16.5,0.501,0.702,0.543,0.432,0.405,0.418,239,377,616,118,129,0.915,16,111,127,167,41,17,73,81,796
267,Wes Iwundu,SF,27,ATL,3,82,0.444,12.3,0.385,0.4,0.333,0,0.667,0.6,5,13,18,3,4,0.75,3,10,13,0,1,0,1,8,22
268,Frank Jackson,PG,23,DET,53,1164,0.402,17.4,0.529,0.725,0.338,0.515,0.5,0.308,279,204,483,86,104,0.827,19,68,87,55,27,9,38,89,560
269,Isaiah Jackson,C,20,IND,36,541,0.563,5,0.584,0.68,0.444,0.182,0.333,0.313,16,190,206,60,88,0.682,60,89,149,10,25,52,40,92,297
270,Jaren Jackson Jr.,PF,22,MEM,78,2126,0.415,13.1,0.476,0.615,0.395,0.421,0.4,0.319,401,635,1036,284,345,0.823,119,335,454,86,73,177,130,272,1272
271,Josh Jackson,SF,24,TOT,51,830,0.4,14.9,0.512,0.712,0.392,0.389,0.286,0.254,130,170,300,55,77,0.714,21,120,141,54,26,22,47,88,328
271,Josh Jackson,SF,24,DET,39,707,0.41,15.2,0.529,0.721,0.39,0.429,0.318,0.265,113,138,251,40,56,0.714,17,106,123,49,21,18,38,71,276
271,Josh Jackson,SF,24,SAC,12,123,0.347,13.7,0.438,0.667,0.4,0.25,0.167,0.176,17,32,49,15,21,0.714,4,14,18,5,5,4,9,17,52
272,Justin Jackson,SF,26,TOT,7,36,0.333,19.9,0.333,,0.667,0,0,0.333,9,6,15,2,2,1,1,6,7,2,0,0,1,3,15
