Rk,Player,Pos,Age,Tm,G,MP,FGP,Distance,2P,0-3,3-10,10-16,16-3P,3P,3PA,2PA,FGA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
560,Moritz Wagner,C,24,ORL,63,960,0.497,14.4,0.672,0.752,0.552,,0,0.328,201,195,396,104,129,0.806,42,190,232,87,20,13,56,123,564
561,Ish Wainright,PF,27,PHO,45,359,0.394,15.8,0.489,0.708,0.294,0,0,0.322,59,45,104,7,12,0.583,27,27,54,15,20,6,13,49,108
562,Kemba Walker,PG,31,NYK,37,948,0.403,18,0.444,0.569,0.375,0.323,0.463,0.367,199,171,370,60,71,0.845,14,97,111,131,26,7,48,37,431
563,Lonnie Walker IV,SG,23,SAS,70,1612,0.407,17,0.487,0.693,0.43,0.366,0.383,0.314,353,411,764,116,148,0.784,18,163,181,152,44,19,71,98,849
564,M.J. Walker,SG,23,PHO,2,8,0,15.4,0,0,0,,,0,2,2,4,0,0,,0,1,1,1,2,0,0,1,0
565,Tyrone Wallace,SG,27,NOP,6,75,0.35,13,0.417,0.714,0,0,0,0.25,8,12,20,1,5,0.2,0,8,8,1,3,1,2,7,17
566,Derrick Walton,PG,26,DET,3,108,0.231,18.1,0.231,0.5,0.2,0,0.2,0.231,13,13,26,4,4,1,2,8,10,21,7,4,11,8,19
567,Brad Wanamaker,PG,32,TOT,23,320,0.364,13.4,0.4,0.438,0.438,0.462,0.267,0.235,17,60,77,23,25,0.92,6,33,39,55,7,6,23,45,83
567,Brad Wanamaker,PG,32,IND,22,293,0.361,13.3,0.4,0.438,0.438,0.4,0.308,0.235,17,55,72,20,22,0.909,6,29,35,48,5,6,23,42,76
567,Brad Wanamaker,PG,32,WAS,1,27,0.4,14.7,0.4,,,0.667,0,,0,5,5,3,3,1,0,4,4,7,2,0,0,3,7
568,Duane Washington Jr.,PG,21,IND,48,968,0.405,16.3,0.434,0.535,0.379,0.353,0.346,0.377,215,212,427,46,61,0.754,4,79,83,85,26,3,57,66,473
569,P.J. Washington,C,23,CHO,65,1768,0.47,15.8,0.606,0.711,0.4,0.5,0,0.365,301,231,532,58,81,0.716,82,255,337,147,57,61,82,152,668
570,Yuta Watanabe,SF,27,TOR,38,445,0.406,17.2,0.492,0.565,0.333,0.571,0.5,0.342,79,59,138,24,40,0.6,18,74,92,21,11,16,19,38,163
571,Lindy Waters III,SG,24,OKC,25,465,0.406,22.4,0.621,0.714,0.647,0.25,1,0.363,146,29,175,4,5,0.8,6,67,73,24,19,8,11,31,199
572,Tremont Waters,PG,24,TOT,3,50,0.286,22.7,0.4,,0.5,0.5,0,0.222,9,5,14,0,0,,0,4,4,7,5,0,4,4,10
572,Tremont Waters,PG,24,TOR,2,42,0.25,25.2,0.333,,0,1,0,0.222,9,3,12,0,0,,0,4,4,7,4,0,4,2,8
572,Tremont Waters,PG,24,WAS,1,8,0.5,7.6,0.5,,1,0,,,0,2,2,0,0,,0,0,0,0,1,0,0,2,2
