"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"51","Carson Wentz (KC)","17","24","70.8","163","6.8","2","1","2","17","56","1","0","2","27.1","13.6","0.7%"
"52","Dorian Thompson-Robinson (CLE)","60","112","53.6","440","3.9","1","4","6","14","65","0","0","8","26.1","3.3","0.6%"
"53","Tyler Huntley (CLE)","21","37","56.8","203","5.5","3","0","4","15","55","0","0","5","25.6","5.1","0.6%"
"54","P.J. Walker (SEA)","54","111","48.6","674","6.1","1","5","11","13","30","0","2","6","24.9","4.2","0.0%"
"55","Sam Darnold (MIN)","28","46","60.9","297","6.5","2","1","6","21","15","1","1","10","24.3","2.4","1.2%"
"56","Andy Dalton (CAR)","34","58","58.6","361","6.2","2","0","3","3","12","0","0","3","23.6","7.9","0.2%"
"57","Jacoby Brissett (NE)","18","23","78.3","224","9.7","3","0","0","3","19","0","0","3","22.9","7.6","1.3%"
"58","C.J. Beathard (JAC)","40","53","75.5","349","6.6","1","0","6","8","35","0","0","8","21.5","2.7","0.6%"
"59","Davis Mills (HOU)","18","39","46.2","173","4.4","2","0","2","2","9","0","0","6","17.9","3.0","0.1%"
"60","Jeff Driskel (WAS)","13","26","50.0","166","6.4","2","2","3","7","33","0","0","1","15.9","15.9","0.0%"
"61","Tim Boyle (HOU)","48","77","62.3","360","4.7","1","4","9","4","5","0","0","3","14.9","5.0","0.0%"
"62","Jameis Winston (CLE)","25","47","53.2","264","5.6","2","3","2","5","-6","0","0","7","14.9","2.1","0.8%"
"63","Case Keenum (HOU)","34","53","64.2","291","5.5","1","3","6","2","1","0","0","2","12.8","6.4","0.6%"
"64","Marcus Mariota (WAS)","15","23","65.2","164","7.1","1","1","3","8","52","0","1","3","12.7","4.2","3.2%"
"65","Clayton Tune (ARI)","12","21","57.1","62","3.0","0","2","7","8","30","1","1","8","9.5","1.2","0.1%"
"66","Blaine Gabbert (KC)","18","35","51.4","185","5.3","0","3","1","7","45","0","0","2","8.9","4.5","0.0%"
"67","Brian Hoyer (FA)","23","42","54.8","231","5.5","0","2","1","3","-3","0","0","3","7.0","2.3","0.0%"
"68","Brett Rypien (CHI)","18","38","47.4","172","4.5","0","1","2","3","19","0","1","2","5.8","2.9","0.1%"
"69","Cooper Rush (DAL)","18","24","75.0","144","6.0","0","1","1","12","-5","0","0","8","4.2","0.5","0.2%"
"70","Malik Willis (TEN)","4","5","80.0","74","14.8","0","0","4","5","21","0","1","3","3.1","1.0","0.1%"
"71","Jaren Hall (MIN)","13","20","65.0","168","8.4","0","1","4","6","14","0","2","3","3.1","1.0","1.6%"
"72","Mike White (MIA)","5","6","83.3","74","12.3","1","1","0","8","-9","0","1","6","3.1","0.5","0.2%"
"73","Sean Clifford (GB)","1","1","100.0","37","37.0","0","0","0","3","-2","0","0","2","1.3","0.7","0.2%"
"74","AJ McCarron (FA)","4","5","80.0","19","3.8","0","0","1","0","0","0","0","2","0.8","0.4","0.0%"
"75","Logan Woodside (CIN)","3","4","75.0","27","6.8","0","1","1","1","6","0","0","1","0.7","0.7","0.0%"
"76","Jayden Daniels (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","74.9%"
"77","Bo Nix (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.7%"
"78","Aaron Rodgers (NYJ)","0","1","0.0","0","0.0","0","0","1","0","0","0","0","1","0.0","0.0","50.4%"
"79","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Trey Lance (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"81","Spencer Sanders (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Ian Book (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"83","Sam Ehlinger (IND)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"84","Michael Pratt (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"85","Tanner Mordecai (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Nathan Rourke (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Jordan Travis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"88","Dresser Winn (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Tanner McKee (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Chris Oladokun (KC)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"91","Devin Leary (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Jake Haener (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"93","Rocky Lombardi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","John Rhys Plumlee (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Casey Bauman (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Gunnar Watson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Zack Annexstad (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","John Paddock (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Jack Plummer (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","Andrew Peasley (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","John Matocha (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Cade Peterson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Wiliam Thompson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Jeremy Moussa (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Aeneas Dennis (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Jason Bean (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Joe Milton III (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"108","Carter Bradley (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Gavin Hardison (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Austin Reed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Spencer Rattler (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"112","Caleb Williams (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79.8%"
"113","Max Duggan (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"114","Drake Maye (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.2%"
"115","Kedon Slovis (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Malik Cunningham (BAL)","0","0","0","0","0","0","0","1","0","0","0","0","2","0.0","0.0","0.1%"
"117","Emory Jones (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Michael Penix Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"119","Taulia Tagovailoa (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","J.J. McCarthy (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.5%"
"121","Hendon Hooker (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"122","Sam Hartman (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Skylar Thompson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"124","Stetson Bennett (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"125","Anthony Brown Jr. (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Ben Chappell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Adam Froman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Erik Ainge (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Hunter Cantwell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Josh Johnson (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"131","Alex McGough (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Taysom Hill (NO)","6","11","54.5","83","7.5","1","0","2","81","401","4","1","16","0.0","0.0","37.1%"
"133","Jacob Eason (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"134","Shane Buechele (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","John Wolford (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Will Grier (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Brett Smith (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Brandon Allen (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"139","Nate Sudfeld (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","Michael Hiers (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Kyle Trask (TB)","0","1","0.0","0","0.0","0","0","0","1","-1","0","0","2","-0.1","-0.1","0.2%"
"142","Teddy Bridgewater (FA)","0","0","0","0","0","0","0","0","2","-2","0","0","1","-0.2","-0.2","0.1%"
"143","Matt Barkley (JAC)","0","0","0","0","0","0","0","0","3","-3","0","0","1","-0.3","-0.3","0.0%"
"144","Nathan Peterman (NO)","0","0","0","0","0","0","0","1","2","-4","0","0","2","-0.4","-0.2","0.0%"
"145","Kyle Allen (PIT)","0","0","0","0","0","0","0","0","13","-13","0","0","7","-1.3","-0.2","0.1%"
""
""
