"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"67","Rondale Moore (ATL)","40","62","352","8.8","48","7","1","28","178","1","0","17","65.0","3.8","5.4%"
"68","Alec Pierce (IND)","32","65","514","16.1","58","17","2","0","0","0","0","17","63.4","3.7","2.4%"
"69","Kendrick Bourne (NE)","37","55","406","11.0","36","7","4","1","4","0","1","8","63.0","7.9","4.9%"
"70","Kalif Raymond (DET)","35","44","489","14.0","41","14","1","7","75","0","0","17","62.4","3.7","1.3%"
"71","Nelson Agholor (BAL)","35","45","381","10.9","37","6","4","0","0","0","0","17","62.1","3.7","0.9%"
"72","Justin Watson (KC)","27","53","460","17.0","41","14","3","0","0","0","1","16","62.0","3.9","1.8%"
"73","Demarcus Robinson (LAR)","26","39","371","14.3","37","10","4","1","23","0","1","13","61.4","4.7","15.3%"
"74","DeMario Douglas (NE)","49","79","561","11.4","42","11","0","8","41","0","1","14","58.2","4.2","20.9%"
"75","Nick Westbrook-Ikhine (TEN)","28","45","370","13.2","33","10","3","0","0","0","0","14","57.0","4.1","0.3%"
"76","Trey Palmer (TB)","39","68","385","9.9","54","9","3","3","22","0","1","17","56.7","3.3","1.6%"
"77","Jameson Williams (DET)","24","42","354","14.8","63","12","2","3","29","1","0","12","56.3","4.7","38.5%"
"78","Quentin Johnston (LAC)","38","67","431","11.3","57","8","2","3","9","0","0","17","56.0","3.3","21.6%"
"79","Brandon Johnson (DEN)","19","30","284","14.9","50","10","4","0","0","0","0","13","54.4","4.2","1.1%"
"80","Michael Gallup (LV)","34","57","418","12.3","41","9","2","0","0","0","0","17","53.8","3.2","6.4%"
"81","Tre Tucker (LV)","19","34","331","17.4","50","14","2","10","77","0","0","16","52.8","3.3","0.6%"
"82","Michael Thomas (FA)","39","64","448","11.5","31","5","1","0","0","0","0","10","50.8","5.1","17.3%"
"83","Robert Woods (HOU)","40","75","426","10.7","26","2","1","1","7","0","0","14","49.3","3.5","2.8%"
"84","Marvin Mims Jr. (DEN)","22","33","377","17.1","60","18","1","9","30","0","2","16","48.7","3.0","6.4%"
"85","A.T. Perry (NO)","12","18","246","20.5","44","9","4","0","0","0","0","10","48.6","4.9","0.8%"
"86","Darnell Mooney (ATL)","31","61","414","13.4","41","11","1","2","5","0","0","15","47.9","3.2","39.2%"
"87","KaVontae Turpin (DAL)","12","18","127","10.6","34","3","3","11","110","1","0","16","47.7","3.0","0.7%"
"88","Cedrick Wilson Jr. (NO)","22","38","296","13.5","31","6","3","0","0","0","0","15","47.6","3.2","1.1%"
"89","Chris Moore (ARI)","22","35","424","19.3","49","17","0","2","39","0","0","17","46.3","2.7","0.1%"
"90","Rashod Bateman (BAL)","32","56","367","11.5","29","2","1","1","18","0","0","16","44.5","2.8","9.7%"
"91","Zay Jones (ARI)","34","64","321","9.4","36","4","2","0","0","0","0","9","44.1","4.9","18.0%"
"92","Jonathan Mingo (CAR)","43","85","418","9.7","40","9","0","0","0","0","0","15","41.8","2.8","7.2%"
"93","Greg Dortch (ARI)","24","41","280","11.7","38","6","2","1","5","0","0","16","40.5","2.5","4.4%"
"94","DeVante Parker (FA)","33","55","394","11.9","30","7","0","0","0","0","0","13","39.4","3.0","1.8%"
"95","Isaiah Hodgins (NYG)","21","33","230","11.0","24","1","3","0","0","0","1","17","39.0","2.3","0.6%"
"96","Brandon Powell (MIN)","29","44","324","11.2","28","6","1","5","17","0","1","17","38.1","2.2","0.7%"
"97","Jake Bobo (SEA)","19","25","196","10.3","31","4","2","1","3","1","0","17","37.9","2.2","0.3%"
"98","Xavier Gipson (NYJ)","21","38","229","10.9","36","5","0","8","68","1","2","17","37.7","2.2","0.8%"
"99","Trenton Irwin (CIN)","25","32","316","12.6","32","8","1","0","0","0","0","16","37.6","2.4","0.6%"
"100","Jalin Hyatt (NYG)","23","40","373","16.2","58","16","0","0","0","0","0","17","37.3","2.2","3.6%"
"101","Allen Lazard (NYJ)","23","49","311","13.5","39","6","1","0","0","0","0","14","37.1","2.7","4.8%"
"102","Jalen Tolbert (DAL)","22","36","268","12.2","45","7","2","0","0","0","1","17","36.8","2.2","1.4%"
"103","Calvin Austin III (PIT)","17","30","180","10.6","72","4","1","11","57","1","0","17","35.7","2.1","0.8%"
"104","Andrei Iosivas (CIN)","15","25","116","7.7","16","0","4","0","0","0","0","16","35.6","2.2","0.6%"
"105","Marquez Valdes-Scantling (BUF)","21","42","315","15.0","46","9","1","0","0","0","1","16","35.5","2.2","1.3%"
"106","David Bell (CLE)","14","23","167","11.9","41","6","3","0","0","0","0","15","34.7","2.3","0.2%"
