"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"84","Ameer Abdullah (LV)","15","89","5.9","12","0","0","19","24","131","6.9","0","0","17","22.0","1.3","0.8%"
"85","Tank Bigsby (JAC)","50","132","2.6","12","0","2","1","4","6","6.0","0","2","16","21.8","1.4","3.9%"
"86","Nick Chubb (CLE)","28","170","6.1","20","1","0","4","4","21","5.3","0","0","2","19.1","9.6","55.5%"
"87","Patrick Taylor Jr. (SF)","32","141","4.4","24","1","0","11","17","49","4.5","0","0","11","19.0","1.7","2.0%"
"88","Kevin Harris (NE)","16","65","4.1","18","0","1","3","3","58","19.3","0","0","4","18.3","4.6","0.2%"
"89","Trey Sermon (IND)","35","160","4.6","27","1","0","3","6","13","4.3","0","0","12","17.3","1.4","0.9%"
"90","Damien Harris (FA)","23","94","4.1","11","0","1","2","2","16","8.0","0","0","7","17.0","2.4","4.6%"
"91","Melvin Gordon III (FA)","26","81","3.1","22","1","1","3","3","46","15.3","0","1","4","16.7","4.2","0.0%"
"92","Ronnie Rivers (LAR)","32","129","4.0","10","0","0","5","5","22","4.4","0","0","9","15.1","1.7","0.7%"
"93","Isaiah Spiller (LAC)","37","96","2.6","8","0","0","6","6","34","5.7","0","0","9","13.0","1.4","0.9%"
"94","Tyler Goodson (IND)","13","87","6.7","31","2","0","6","9","34","5.7","0","0","6","12.1","2.0","0.1%"
"95","Alec Ingold (MIA)","2","0","0.0","0","0","0","13","16","119","9.2","0","0","17","11.9","0.7","0.2%"
"96","Boston Scott (LAR)","20","86","4.3","18","0","0","4","6","52","13.0","0","1","12","11.8","1.0","0.1%"
"97","Patrick Ricard (BAL)","0","0","0","0","0","0","5","7","52","10.4","1","0","17","11.2","0.7","0.1%"
"98","Brandon Bolden (FA)","4","31","7.8","26","1","1","0","0","0","0","0","0","5","11.1","2.2","0.0%"
"99","Raheem Blackshear (CAR)","14","46","3.3","9","0","0","6","7","45","7.5","0","0","11","11.1","1.0","0.1%"
"100","La'Mical Perine (PIT)","22","77","3.5","10","0","0","3","5","33","11.0","0","0","5","11.0","2.2","0.2%"
"101","Emanuel Wilson (GB)","14","85","6.1","31","2","0","4","5","23","5.8","0","0","7","10.8","1.5","0.2%"
"102","Chris Brooks (MIA)","19","106","5.6","52","5","0","0","0","0","0","0","0","4","10.6","2.7","0.1%"
"103","Keaontay Ingram (KC)","35","74","2.1","14","0","0","4","4","26","6.5","0","0","7","10.0","1.4","1.2%"
"104","J.K. Dobbins (LAC)","8","22","2.8","4","0","1","2","3","15","7.5","0","0","1","9.7","9.7","42.3%"
"105","Hunter Luepke (DAL)","6","19","3.2","9","0","1","3","4","18","6.0","0","0","17","9.7","0.6","0.1%"
"106","Israel Abanikanda (NYJ)","22","70","3.2","12","0","0","7","11","43","6.1","0","1","7","9.3","1.3","1.3%"
"107","Nick Bawden (NYJ)","2","4","2.0","3","0","1","3","3","21","7.0","0","0","16","8.5","0.5","0.0%"
"108","Dare Ogunbowale (HOU)","8","35","4.4","17","0","0","2","7","18","9.0","0","0","10","8.3","0.8","0.3%"
"109","Deuce Vaughn (DAL)","23","40","1.7","13","0","0","7","7","40","5.7","0","0","7","8.0","1.1","1.5%"
"110","Trayveon Williams (CIN)","15","69","4.6","15","0","0","7","9","10","1.4","0","0","17","7.9","0.5","0.4%"
"111","Eric Gray (NYG)","17","48","2.8","12","0","0","6","7","22","3.7","0","0","14","7.0","0.5","0.7%"
"112","Gary Brightwell (FA)","9","19","2.1","5","0","0","5","7","47","9.4","0","0","4","6.6","1.7","0.1%"
"113","Mike Boone (CAR)","5","23","4.6","11","0","0","7","9","40","5.7","0","0","9","6.3","0.7","0.0%"
"114","Damien Williams (FA)","11","43","3.9","9","0","0","2","2","12","6.0","0","0","3","5.5","1.8","0.0%"
"115","Ty Montgomery II (FA)","3","9","3.0","7","0","0","5","12","40","8.0","0","0","13","4.9","0.4","0.0%"
"116","Ke'Shawn Vaughn (FA)","24","42","1.8","9","0","0","2","5","2","1.0","0","0","5","4.4","0.9","0.1%"
"117","Leonard Fournette (FA)","12","40","3.3","9","0","0","0","0","0","0","0","0","2","4.0","2.0","2.1%"
"118","Rashaad Penny (CAR)","11","33","3.0","7","0","0","1","1","5","5.0","0","0","3","3.8","1.3","4.1%"
"119","Michael Burton (DEN)","7","9","1.3","4","0","0","3","3","8","2.7","0","0","17","3.7","0.2","0.1%"
"120","Keith Smith (FA)","0","0","0","0","0","0","3","3","33","11.0","0","0","13","3.3","0.3","0.0%"
"121","C.J. Ham (MIN)","1","7","7.0","7","0","0","7","9","25","3.6","0","0","17","3.2","0.2","0.1%"
"122","Sean Tucker (TB)","15","23","1.5","7","0","0","2","2","9","4.5","0","0","5","3.2","0.6","0.2%"
"123","Khari Blasingame (CHI)","8","26","3.3","6","0","0","3","6","2","0.7","0","0","16","2.8","0.2","0.1%"
"124","Derrick Gore (WAS)","3","26","8.7","23","1","0","0","0","0","0","0","0","5","2.6","0.5","0.0%"
"125","DeeJay Dallas (ARI)","10","36","3.6","8","0","0","6","9","26","4.3","0","2","17","2.2","0.1","0.6%"
"126","Jake Funk (DET)","2","10","5.0","7","0","0","1","1","12","12.0","0","0","1","2.2","2.2","0.0%"
"127","Zonovan Knight (DET)","3","13","4.3","8","0","0","1","1","8","8.0","0","0","2","2.1","1.1","0.1%"
"128","Tyrion Davis-Price (PHI)","6","21","3.5","15","0","0","0","0","0","0","0","0","1","2.1","2.1","0.1%"
"129","Elijah Dotson (LAC)","4","6","1.5","2","0","0","2","2","13","6.5","0","0","4","1.9","0.5","0.1%"
"130","Zach Evans (LAR)","9","19","2.1","5","0","0","0","0","0","0","0","0","4","1.9","0.5","0.7%"
"131","Devine Ozigbo (FA)","3","5","1.7","4","0","0","1","1","8","8.0","0","0","2","1.3","0.7","0.0%"
"132","Alex Armah Jr. (FA)","0","0","0","0","0","0","3","3","13","4.3","0","0","7","1.3","0.2","0.0%"
"133","Jashaun Corbin (NYG)","1","1","1.0","1","0","0","3","3","12","4.0","0","0","3","1.3","0.4","0.0%"
"134","Kene Nwangwu (MIN)","5","13","2.6","8","0","0","0","0","0","0","0","0","8","1.3","0.2","0.2%"
"135","Jacob Johnson (FA)","0","0","0","0","0","0","1","2","12","12.0","0","0","13","1.2","0.1","0.0%"
"136","Jonathan Ward (PIT)","3","11","3.7","8","0","0","0","0","0","0","0","0","5","1.1","0.2","0.0%"
"137","Kenyan Drake (FA)","2","0","0.0","0","0","0","2","3","31","15.5","0","1","3","1.1","0.4","0.0%"
"138","Chris Evans (CIN)","2","12","6.0","7","0","0","1","1","-1","-1.0","0","0","7","1.1","0.2","0.2%"
"139","Anthony McFarland Jr. (FA)","0","0","0","0","0","0","2","2","11","5.5","0","0","3","1.1","0.4","0.0%"
"140","Evan Hull (IND)","1","1","1.0","1","0","0","1","1","6","6.0","0","0","1","0.7","0.7","0.8%"
"141","Adam Prentice (NO)","2","12","6.0","7","0","0","2","3","12","6.0","0","1","13","0.4","0.0","0.0%"
"142","Reggie Gilliam (BUF)","0","0","0","0","0","0","1","1","3","3.0","0","0","16","0.3","0.0","0.0%"
"143","J.J. Taylor (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"144","Kirk Merritt (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"145","James Robinson (NO)","1","2","2.0","2","0","0","1","1","-2","-2.0","0","0","1","0.0","0.0","0.1%"
"146","JaMycal Hasty (NE)","0","0","0","0","0","0","0","2","0","0","0","0","2","0.0","0.0","0.1%"
"147","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"148","Travis Homer (CHI)","0","0","0","0","0","0","0","1","0","0","0","0","9","0.0","0.0","0.1%"
"149","Andrew Beck (HOU)","5","3","0.6","2","0","1","11","13","55","5.0","2","1","15","0.0","0.0","0.1%"
"150","Austin Walter (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"151","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"152","Elijah Collins (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Mohamed Ibrahim (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"155","Trey Benson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47.4%"
"156","Xazavian Valladay (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Kenny McIntosh (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
